"_time","Placed bets: NyxCasino","amount_placed: NyxCasino"
"2020-04-10T00:05:00.000+0200",6907,"39718.3800"
"2020-04-10T00:10:00.000+0200",6525,"38720.5800"
"2020-04-10T00:15:00.000+0200",6549,"33176.0700"
"2020-04-10T00:20:00.000+0200",6738,"47279.4900"
"2020-04-10T00:25:00.000+0200",7779,"62497.6700"
"2020-04-10T00:30:00.000+0200",6538,"58166.0100"
"2020-04-10T00:35:00.000+0200",6253,"60326.2600"
"2020-04-10T00:40:00.000+0200",6741,"56261.2600"
"2020-04-10T00:45:00.000+0200",7086,"54363.4100"
"2020-04-10T00:50:00.000+0200",6860,"57867.4400"
"2020-04-10T00:55:00.000+0200",6652,"56485.6800"
"2020-04-10T01:00:00.000+0200",7035,"53414.4500"
"2020-04-10T01:05:00.000+0200",7042,"45173.7000"
"2020-04-10T01:10:00.000+0200",6609,"56310.5700"
"2020-04-10T01:15:00.000+0200",6407,"51087.5000"
"2020-04-10T01:20:00.000+0200",5436,"34032.8000"
"2020-04-10T01:25:00.000+0200",5794,"40393.8000"
"2020-04-10T01:30:00.000+0200",5546,"37831.6200"
"2020-04-10T01:35:00.000+0200",5245,"29783.2200"
"2020-04-10T01:40:00.000+0200",5045,"29375.4500"
"2020-04-10T01:45:00.000+0200",5001,"28014.3800"
"2020-04-10T01:50:00.000+0200",4798,"26696.4800"
"2020-04-10T01:55:00.000+0200",5144,"25132.8900"
"2020-04-10T02:00:00.000+0200",4598,"19100.5000"
"2020-04-10T02:05:00.000+0200",3607,"15549.0300"
"2020-04-10T02:10:00.000+0200",4107,"17634.8800"
"2020-04-10T02:15:00.000+0200",3855,"14265.9200"
"2020-04-10T02:20:00.000+0200",4684,"17781.7200"
"2020-04-10T02:25:00.000+0200",4322,"16473.8900"
"2020-04-10T02:30:00.000+0200",4769,"21449.4700"
"2020-04-10T02:35:00.000+0200",3968,"18266.1000"
"2020-04-10T02:40:00.000+0200",4298,"18473.8500"
"2020-04-10T02:45:00.000+0200",4067,"20596.4900"
"2020-04-10T02:50:00.000+0200",4025,"16294.4500"
"2020-04-10T02:55:00.000+0200",4340,"17916.6100"
"2020-04-10T03:00:00.000+0200",3637,"17135.2100"
"2020-04-10T03:05:00.000+0200",3333,"15621.3900"
"2020-04-10T03:10:00.000+0200",3442,"16902.4500"
"2020-04-10T03:15:00.000+0200",3188,"21833.8600"
"2020-04-10T03:20:00.000+0200",3187,"18976.6700"
"2020-04-10T03:25:00.000+0200",2907,"14226.6000"
"2020-04-10T03:30:00.000+0200",2962,"14959.4000"
"2020-04-10T03:35:00.000+0200",3075,"15833.7100"
"2020-04-10T03:40:00.000+0200",3246,"12356.9600"
"2020-04-10T03:45:00.000+0200",3362,"12730.5000"
"2020-04-10T03:50:00.000+0200",3379,"13289.4300"
"2020-04-10T03:55:00.000+0200",2767,"10766.7000"
"2020-04-10T04:00:00.000+0200",2638,"12201.7600"
"2020-04-10T04:05:00.000+0200",2401,"10358.0000"
"2020-04-10T04:10:00.000+0200",2405,"7461.2700"
"2020-04-10T04:15:00.000+0200",2318,"6364.9800"
"2020-04-10T04:20:00.000+0200",2553,"7643.4200"
"2020-04-10T04:25:00.000+0200",2108,"7352.5900"
"2020-04-10T04:30:00.000+0200",1980,"4063.8500"
"2020-04-10T04:35:00.000+0200",1938,"3957.1800"
"2020-04-10T04:40:00.000+0200",1985,"3223.0500"
"2020-04-10T04:45:00.000+0200",1581,"2398.1600"
"2020-04-10T04:50:00.000+0200",1954,"3208.7000"
"2020-04-10T04:55:00.000+0200",1815,"4318.7900"
"2020-04-10T05:00:00.000+0200",1660,"3779.7800"
"2020-04-10T05:05:00.000+0200",1789,"3727.1100"
"2020-04-10T05:10:00.000+0200",1753,"3793.0900"
"2020-04-10T05:15:00.000+0200",1578,"3416.7900"
"2020-04-10T05:20:00.000+0200",1717,"3514.1300"
"2020-04-10T05:25:00.000+0200",1889,"4722.8400"
"2020-04-10T05:30:00.000+0200",2017,"5973.5300"
"2020-04-10T05:35:00.000+0200",1815,"4507.7800"
"2020-04-10T05:40:00.000+0200",1708,"3958.5700"
"2020-04-10T05:45:00.000+0200",1652,"5577.9600"
"2020-04-10T05:50:00.000+0200",1857,"4980.2200"
"2020-04-10T05:55:00.000+0200",1877,"5012.9400"
"2020-04-10T06:00:00.000+0200",1760,"7348.7600"
"2020-04-10T06:05:00.000+0200",1845,"5501.3000"
"2020-04-10T06:10:00.000+0200",1947,"10383.9500"
"2020-04-10T06:15:00.000+0200",1650,"6953.2100"
"2020-04-10T06:20:00.000+0200",1690,"5411.7400"
"2020-04-10T06:25:00.000+0200",1514,"3904.2200"
"2020-04-10T06:30:00.000+0200",1612,"4829.3000"
"2020-04-10T06:35:00.000+0200",1796,"5093.9300"
"2020-04-10T06:40:00.000+0200",2444,"7308.1900"
"2020-04-10T06:45:00.000+0200",2193,"5147.4300"
"2020-04-10T06:50:00.000+0200",1924,"5996.0000"
"2020-04-10T06:55:00.000+0200",2214,"5397.6800"
"2020-04-10T07:00:00.000+0200",2308,"6994.5400"
"2020-04-10T07:05:00.000+0200",2383,"9095.4300"
"2020-04-10T07:10:00.000+0200",2694,"11451.1000"
"2020-04-10T07:15:00.000+0200",2839,"14696.4700"
"2020-04-10T07:20:00.000+0200",2881,"14717.8500"
"2020-04-10T07:25:00.000+0200",2756,"15655.4600"
"2020-04-10T07:30:00.000+0200",2648,"13607.9600"
"2020-04-10T07:35:00.000+0200",2628,"16427.3200"
"2020-04-10T07:40:00.000+0200",2731,"5470.6700"
"2020-04-10T07:45:00.000+0200",2724,"7651.0500"
"2020-04-10T07:50:00.000+0200",2794,"7464.6700"
"2020-04-10T07:55:00.000+0200",2329,"7338.1600"
"2020-04-10T08:00:00.000+0200",2482,"9350.2700"
"2020-04-10T08:05:00.000+0200",2372,"7524.4400"
"2020-04-10T08:10:00.000+0200",2428,"6570.0300"
