"_time","Placed bets: NyxCasino","amount_placed: NyxCasino"
"2020-04-17T00:05:00.000+0200",7303,"31762.3900"
"2020-04-17T00:10:00.000+0200",6947,"30906.6900"
"2020-04-17T00:15:00.000+0200",7106,"32669.6800"
"2020-04-17T00:20:00.000+0200",7579,"39714.4600"
"2020-04-17T00:25:00.000+0200",7619,"43196.5200"
"2020-04-17T00:30:00.000+0200",7360,"38556.3300"
"2020-04-17T00:35:00.000+0200",6992,"30466.3100"
"2020-04-17T00:40:00.000+0200",7286,"33906.3800"
"2020-04-17T00:45:00.000+0200",7044,"34430.5600"
"2020-04-17T00:50:00.000+0200",6531,"28666.4700"
"2020-04-17T00:55:00.000+0200",6124,"26975.8800"
"2020-04-17T01:00:00.000+0200",5568,"27392.4800"
"2020-04-17T01:05:00.000+0200",5891,"28094.1400"
"2020-04-17T01:10:00.000+0200",5794,"26908.5100"
"2020-04-17T01:15:00.000+0200",5595,"28120.2000"
"2020-04-17T01:20:00.000+0200",4494,"18772.6900"
"2020-04-17T01:25:00.000+0200",2982,"12683.3600"
"2020-04-17T01:30:00.000+0200",1681,"9025.6800"
"2020-04-17T01:35:00.000+0200",1333,"4448.4600"
"2020-04-17T01:40:00.000+0200",1147,"6760.9400"
"2020-04-17T01:45:00.000+0200",1115,"8194.4800"
"2020-04-17T01:50:00.000+0200",1104,"10734.6300"
"2020-04-17T01:55:00.000+0200",900,"5179.3100"
"2020-04-17T02:00:00.000+0200",734,"6138.6200"
"2020-04-17T02:05:00.000+0200",572,"2444.2800"
"2020-04-17T02:10:00.000+0200",834,"2919.5000"
"2020-04-17T02:15:00.000+0200",673,"2902.8800"
"2020-04-17T02:20:00.000+0200",688,"4773.4800"
"2020-04-17T02:25:00.000+0200",651,"3080.0600"
"2020-04-17T02:30:00.000+0200",738,"4128.0900"
"2020-04-17T02:35:00.000+0200",787,"4189.6000"
"2020-04-17T02:40:00.000+0200",733,"4856.3000"
"2020-04-17T02:45:00.000+0200",832,"3931.6600"
"2020-04-17T02:50:00.000+0200",722,"1826.5500"
"2020-04-17T02:55:00.000+0200",494,"1020.9500"
"2020-04-17T03:00:00.000+0200",632,"1282.8600"
"2020-04-17T03:05:00.000+0200",541,"3929.4200"
"2020-04-17T03:10:00.000+0200",637,"5114.0000"
"2020-04-17T03:15:00.000+0200",877,"6302.4800"
"2020-04-17T03:20:00.000+0200",827,"5376.8800"
"2020-04-17T03:25:00.000+0200",697,"4274.6700"
"2020-04-17T03:30:00.000+0200",512,"2707.3700"
"2020-04-17T03:35:00.000+0200",446,"1294.5500"
"2020-04-17T03:40:00.000+0200",568,"2574.6500"
"2020-04-17T03:45:00.000+0200",442,"2123.5000"
"2020-04-17T03:50:00.000+0200",381,"2027.7500"
"2020-04-17T03:55:00.000+0200",440,"2178.2000"
"2020-04-17T04:00:00.000+0200",523,"3830.6000"
"2020-04-17T04:05:00.000+0200",732,"5074.1000"
"2020-04-17T04:10:00.000+0200",828,"6279.6500"
"2020-04-17T04:15:00.000+0200",957,"3868.0300"
"2020-04-17T04:20:00.000+0200",1096,"3590.9100"
"2020-04-17T04:25:00.000+0200",1124,"4412.0000"
"2020-04-17T04:30:00.000+0200",1332,"6384.5000"
"2020-04-17T04:35:00.000+0200",1073,"6499.3000"
"2020-04-17T04:40:00.000+0200",1209,"6893.4100"
"2020-04-17T04:45:00.000+0200",1028,"4400.1000"
"2020-04-17T04:50:00.000+0200",583,"2229.9800"
"2020-04-17T04:55:00.000+0200",499,"1416.2000"
"2020-04-17T05:00:00.000+0200",645,"4006.8300"
"2020-04-17T05:05:00.000+0200",598,"4593.4200"
"2020-04-17T05:10:00.000+0200",570,"3517.3000"
"2020-04-17T05:15:00.000+0200",717,"5452.3500"
"2020-04-17T05:20:00.000+0200",814,"4617.0600"
"2020-04-17T05:25:00.000+0200",696,"1478.1900"
"2020-04-17T05:30:00.000+0200",522,"1768.1000"
"2020-04-17T05:35:00.000+0200",334,"1501.8600"
"2020-04-17T05:40:00.000+0200",265,"2411.8000"
"2020-04-17T05:45:00.000+0200",345,"1871.0000"
"2020-04-17T05:50:00.000+0200",414,"792.9000"
"2020-04-17T05:55:00.000+0200",360,"948.5000"
"2020-04-17T06:00:00.000+0200",261,"565.6000"
"2020-04-17T06:05:00.000+0200",380,"951.8900"
"2020-04-17T06:10:00.000+0200",409,"1551.5000"
"2020-04-17T06:15:00.000+0200",454,"2552.0000"
"2020-04-17T06:20:00.000+0200",522,"1284.8500"
"2020-04-17T06:25:00.000+0200",796,"4134.9000"
"2020-04-17T06:30:00.000+0200",767,"4423.2000"
"2020-04-17T06:35:00.000+0200",1086,"6377.0000"
"2020-04-17T06:40:00.000+0200",900,"3079.1000"
"2020-04-17T06:45:00.000+0200",738,"2684.6600"
"2020-04-17T06:50:00.000+0200",636,"1965.2500"
"2020-04-17T06:55:00.000+0200",405,"2036.6700"
"2020-04-17T07:00:00.000+0200",474,"2471.5000"
"2020-04-17T07:05:00.000+0200",408,"2055.1300"
"2020-04-17T07:10:00.000+0200",552,"1893.5900"
"2020-04-17T07:15:00.000+0200",652,"1156.4500"
"2020-04-17T07:20:00.000+0200",770,"2479.2500"
"2020-04-17T07:25:00.000+0200",584,"1772.7000"
"2020-04-17T07:30:00.000+0200",649,"4148.4000"
"2020-04-17T07:35:00.000+0200",627,"3471.0500"
"2020-04-17T07:40:00.000+0200",631,"4281.1000"
"2020-04-17T07:45:00.000+0200",619,"3210.5900"
"2020-04-17T07:50:00.000+0200",689,"4124.5500"
"2020-04-17T07:55:00.000+0200",824,"4919.3700"
"2020-04-17T08:00:00.000+0200",683,"3632.3900"
"2020-04-17T08:05:00.000+0200",773,"2959.4200"
"2020-04-17T08:10:00.000+0200",766,"5495.4800"
"2020-04-17T08:15:00.000+0200",858,"8493.5800"
"2020-04-17T08:20:00.000+0200",855,"9911.8600"
"2020-04-17T08:25:00.000+0200",1122,"9753.8300"
"2020-04-17T08:30:00.000+0200",957,"3987.0900"
"2020-04-17T08:35:00.000+0200",961,"5930.0100"
"2020-04-17T08:40:00.000+0200",781,"7458.0500"
"2020-04-17T08:45:00.000+0200",590,"5280.9500"
"2020-04-17T08:50:00.000+0200",534,"5403.2500"
"2020-04-17T08:55:00.000+0200",783,"4586.9300"
"2020-04-17T09:00:00.000+0200",670,"3320.1500"
"2020-04-17T09:05:00.000+0200",442,"1755.7000"
"2020-04-17T09:10:00.000+0200",394,"1845.7000"
"2020-04-17T09:15:00.000+0200",420,"1185.7800"
"2020-04-17T09:20:00.000+0200",783,"2229.3600"
"2020-04-17T09:25:00.000+0200",735,"2173.5400"
"2020-04-17T09:30:00.000+0200",566,"1612.4300"
"2020-04-17T09:35:00.000+0200",364,"1398.5200"
"2020-04-17T09:40:00.000+0200",487,"1732.8000"
"2020-04-17T09:45:00.000+0200",613,"2688.1500"
"2020-04-17T09:50:00.000+0200",538,"1927.8000"
"2020-04-17T09:55:00.000+0200",606,"2050.5000"
"2020-04-17T10:00:00.000+0200",499,"826.6500"
"2020-04-17T10:05:00.000+0200",366,"2851.0300"
"2020-04-17T10:10:00.000+0200",474,"1849.8800"
"2020-04-17T10:15:00.000+0200",536,"1263.0000"
"2020-04-17T10:20:00.000+0200",881,"3927.9200"
"2020-04-17T10:25:00.000+0200",1029,"5844.5600"
"2020-04-17T10:30:00.000+0200",620,"3248.3700"
"2020-04-17T10:35:00.000+0200",442,"955.9000"
"2020-04-17T10:40:00.000+0200",425,"1892.1300"
"2020-04-17T10:45:00.000+0200",288,"814.2600"
"2020-04-17T10:50:00.000+0200",324,"992.9500"
"2020-04-17T10:55:00.000+0200",494,"2161.0300"
"2020-04-17T11:00:00.000+0200",478,"1654.7000"
"2020-04-17T11:05:00.000+0200",233,"870.6000"
"2020-04-17T11:10:00.000+0200",217,"749.9300"
"2020-04-17T11:15:00.000+0200",256,"553.9000"
"2020-04-17T11:20:00.000+0200",309,"649.7200"
"2020-04-17T11:25:00.000+0200",377,"705.3900"
"2020-04-17T11:30:00.000+0200",464,"1172.4000"
"2020-04-17T11:35:00.000+0200",509,"1714.1000"
"2020-04-17T11:40:00.000+0200",511,"2376.5000"
"2020-04-17T11:45:00.000+0200",496,"814.7400"
"2020-04-17T11:50:00.000+0200",450,"1689.6000"
"2020-04-17T11:55:00.000+0200",632,"2470.1000"
"2020-04-17T12:00:00.000+0200",588,"4331.0000"
"2020-04-17T12:05:00.000+0200",464,"1255.4400"
"2020-04-17T12:10:00.000+0200",678,"5675.0500"
"2020-04-17T12:15:00.000+0200",532,"943.2000"
"2020-04-17T12:20:00.000+0200",525,"1627.0300"
"2020-04-17T12:25:00.000+0200",461,"964.2000"
"2020-04-17T12:30:00.000+0200",646,"1618.4300"
"2020-04-17T12:35:00.000+0200",476,"1855.1300"
"2020-04-17T12:40:00.000+0200",440,"1443.8300"
"2020-04-17T12:45:00.000+0200",476,"1365.7000"
"2020-04-17T12:50:00.000+0200",519,"1204.1600"
"2020-04-17T12:55:00.000+0200",401,"1319.9800"
"2020-04-17T13:00:00.000+0200",766,"6901.7700"
"2020-04-17T13:05:00.000+0200",537,"5463.2800"
"2020-04-17T13:10:00.000+0200",729,"3909.1700"
"2020-04-17T13:15:00.000+0200",992,"2201.7200"
"2020-04-17T13:20:00.000+0200",936,"5238.3400"
"2020-04-17T13:25:00.000+0200",787,"2181.1000"
"2020-04-17T13:30:00.000+0200",986,"2285.0800"
"2020-04-17T13:35:00.000+0200",892,"2237.1700"
"2020-04-17T13:40:00.000+0200",652,"1631.2000"
"2020-04-17T13:45:00.000+0200",726,"2586.8500"
"2020-04-17T13:50:00.000+0200",923,"5224.9400"
"2020-04-17T13:55:00.000+0200",877,"4440.6400"
"2020-04-17T14:00:00.000+0200",515,"3288.5700"
"2020-04-17T14:05:00.000+0200",601,"4143.7900"
"2020-04-17T14:10:00.000+0200",570,"2039.4500"
"2020-04-17T14:15:00.000+0200",1095,"4581.7200"
"2020-04-17T14:20:00.000+0200",3205,"10172.8200"
"2020-04-17T14:25:00.000+0200",3977,"14367.4800"
"2020-04-17T14:30:00.000+0200",5398,"17803.1400"
"2020-04-17T14:35:00.000+0200",5578,"24487.9000"
"2020-04-17T14:40:00.000+0200",6078,"27547.6600"
"2020-04-17T14:45:00.000+0200",6031,"22711.8600"
"2020-04-17T14:50:00.000+0200",5775,"21604.0300"
"2020-04-17T14:55:00.000+0200",6176,"25732.4600"
"2020-04-17T15:00:00.000+0200",5779,"23689.5200"
"2020-04-17T15:05:00.000+0200",6129,"26416.1800"
"2020-04-17T15:10:00.000+0200",6117,"32145.9100"
"2020-04-17T15:15:00.000+0200",6287,"27748.1200"
"2020-04-17T15:20:00.000+0200",6326,"22981.3900"
"2020-04-17T15:25:00.000+0200",6386,"21714.9100"
"2020-04-17T15:30:00.000+0200",6512,"24709.5200"
"2020-04-17T15:35:00.000+0200",7038,"19948.5100"
"2020-04-17T15:40:00.000+0200",7248,"20349.2200"
