"_time","Placed bets: ISoftBetCasino","amount_placed: ISoftBetCasino"
"2020-04-04T20:45:00.000+0200",30986,"110275.0300"
"2020-04-04T20:50:00.000+0200",31770,"151738.1100"
"2020-04-04T20:55:00.000+0200",32427,"117669.2800"
"2020-04-04T21:00:00.000+0200",30898,"97405.2400"
"2020-04-04T21:05:00.000+0200",31794,"103263.3700"
"2020-04-04T21:10:00.000+0200",30891,"97269.0900"
"2020-04-04T21:15:00.000+0200",32190,"111465.2100"
"2020-04-04T21:20:00.000+0200",32530,"129583.9500"
"2020-04-04T21:25:00.000+0200",32647,"157436.2000"
"2020-04-04T21:30:00.000+0200",32396,"135749.4700"
"2020-04-04T21:35:00.000+0200",32854,"133398.8600"
"2020-04-04T21:40:00.000+0200",33993,"107291.9000"
"2020-04-04T21:45:00.000+0200",32100,"102895.6500"
"2020-04-04T21:50:00.000+0200",33060,"160266.8300"
"2020-04-04T21:55:00.000+0200",33083,"119460.7400"
"2020-04-04T22:00:00.000+0200",32223,"97671.3800"
"2020-04-04T22:05:00.000+0200",34119,"129231.6300"
"2020-04-04T22:10:00.000+0200",34603,"140691.0400"
"2020-04-04T22:15:00.000+0200",35846,"204413.4900"
"2020-04-04T22:20:00.000+0200",34734,"252093.2400"
"2020-04-04T22:25:00.000+0200",35373,"227832.5600"
"2020-04-04T22:30:00.000+0200",34396,"190072.0300"
"2020-04-04T22:35:00.000+0200",33583,"254820.9800"
"2020-04-04T22:40:00.000+0200",34822,"208522.9500"
"2020-04-04T22:45:00.000+0200",34724,"284915.6600"
"2020-04-04T22:50:00.000+0200",34502,"151093.6600"
"2020-04-04T22:55:00.000+0200",33374,"152985.6500"
"2020-04-04T23:00:00.000+0200",31361,"120000.5300"
"2020-04-04T23:05:00.000+0200",31495,"126039.4300"
"2020-04-04T23:10:00.000+0200",31985,"140610.2300"
"2020-04-04T23:15:00.000+0200",30476,"115528.6600"
"2020-04-04T23:20:00.000+0200",33596,"146386.9900"
"2020-04-04T23:25:00.000+0200",32239,"181001.7400"
"2020-04-04T23:30:00.000+0200",32664,"211215.8500"
"2020-04-04T23:35:00.000+0200",34492,"203306.0300"
"2020-04-04T23:40:00.000+0200",34387,"194942.7700"
"2020-04-04T23:45:00.000+0200",34615,"211821.3800"
"2020-04-04T23:50:00.000+0200",34015,"189833.1900"
"2020-04-04T23:55:00.000+0200",33050,"148792.5700"
"2020-04-05T00:00:00.000+0200",31759,"140169.4900"
"2020-04-05T00:05:00.000+0200",34134,"199763.7500"
"2020-04-05T00:10:00.000+0200",32647,"193262.9800"
"2020-04-05T00:15:00.000+0200",33964,"220382.3700"
"2020-04-05T00:20:00.000+0200",33017,"190799.5800"
"2020-04-05T00:25:00.000+0200",31670,"139881.1600"
"2020-04-05T00:30:00.000+0200",31144,"159981.5600"
"2020-04-05T00:35:00.000+0200",31164,"237796.5100"
"2020-04-05T00:40:00.000+0200",30114,"207528.0600"
"2020-04-05T00:45:00.000+0200",30646,"186630.4500"
"2020-04-05T00:50:00.000+0200",29761,"142203.9100"
"2020-04-05T00:55:00.000+0200",29013,"143059.5500"
"2020-04-05T01:00:00.000+0200",28050,"121754.4000"
"2020-04-05T01:05:00.000+0200",27839,"98689.5000"
"2020-04-05T01:10:00.000+0200",26577,"77725.1000"
"2020-04-05T01:15:00.000+0200",26202,"85466.8500"
"2020-04-05T01:20:00.000+0200",21956,"95704.7300"
"2020-04-05T01:25:00.000+0200",23549,"106032.4500"
"2020-04-05T01:30:00.000+0200",26223,"96154.3100"
"2020-04-05T01:35:00.000+0200",24903,"97408.2700"
"2020-04-05T01:40:00.000+0200",24692,"95557.3500"
"2020-04-05T01:45:00.000+0200",24402,"119221.0300"
"2020-04-05T01:50:00.000+0200",22895,"115262.9600"
"2020-04-05T01:55:00.000+0200",22215,"148729.8200"
"2020-04-05T02:00:00.000+0200",21575,"175868.2600"
"2020-04-05T02:05:00.000+0200",19667,"97564.7800"
"2020-04-05T02:10:00.000+0200",19309,"74374.2500"
"2020-04-05T02:15:00.000+0200",19665,"74293.7400"
"2020-04-05T02:20:00.000+0200",20120,"73264.1900"
"2020-04-05T02:25:00.000+0200",20548,"69192.7900"
"2020-04-05T02:30:00.000+0200",19211,"73130.0700"
"2020-04-05T02:35:00.000+0200",17505,"57122.7100"
"2020-04-05T02:40:00.000+0200",18059,"57819.1000"
"2020-04-05T02:45:00.000+0200",18450,"56614.2100"
"2020-04-05T02:50:00.000+0200",18042,"58847.1300"
"2020-04-05T02:55:00.000+0200",18266,"60198.2500"
"2020-04-05T03:00:00.000+0200",16861,"66009.8600"
"2020-04-05T03:05:00.000+0200",16080,"73068.1600"
"2020-04-05T03:10:00.000+0200",16511,"69522.5200"
"2020-04-05T03:15:00.000+0200",15458,"62418.7200"
"2020-04-05T03:20:00.000+0200",14800,"55492.9700"
"2020-04-05T03:25:00.000+0200",13918,"63571.5600"
"2020-04-05T03:30:00.000+0200",13291,"56241.8500"
"2020-04-05T03:35:00.000+0200",13139,"53923.4700"
"2020-04-05T03:40:00.000+0200",12612,"54700.5900"
"2020-04-05T03:45:00.000+0200",12974,"53844.5000"
"2020-04-05T03:50:00.000+0200",11993,"50907.1600"
"2020-04-05T03:55:00.000+0200",12537,"111048.5300"
"2020-04-05T04:00:00.000+0200",10874,"103531.1700"
"2020-04-05T04:05:00.000+0200",9942,"114501.2200"
"2020-04-05T04:10:00.000+0200",8784,"57812.5000"
"2020-04-05T04:15:00.000+0200",8491,"54549.0600"
"2020-04-05T04:20:00.000+0200",8891,"53928.5500"
"2020-04-05T04:25:00.000+0200",8102,"44647.8700"
"2020-04-05T04:30:00.000+0200",7724,"35423.8100"
"2020-04-05T04:35:00.000+0200",7195,"36343.4600"
"2020-04-05T04:40:00.000+0200",7030,"36591.0900"
"2020-04-05T04:45:00.000+0200",7827,"39402.2900"
"2020-04-05T04:50:00.000+0200",7866,"40903.0300"
"2020-04-05T04:55:00.000+0200",7283,"43588.0100"
"2020-04-05T05:00:00.000+0200",7777,"43663.0600"
"2020-04-05T05:05:00.000+0200",7369,"45963.0700"
"2020-04-05T05:10:00.000+0200",6948,"41318.7500"
"2020-04-05T05:15:00.000+0200",7384,"48104.1500"
"2020-04-05T05:20:00.000+0200",7452,"40896.0600"
"2020-04-05T05:25:00.000+0200",6744,"38988.6900"
"2020-04-05T05:30:00.000+0200",6416,"33656.5400"
"2020-04-05T05:35:00.000+0200",5580,"35570.8200"
"2020-04-05T05:40:00.000+0200",6435,"46784.4900"
"2020-04-05T05:45:00.000+0200",6127,"125071.9900"
"2020-04-05T05:50:00.000+0200",6003,"27234.6500"
"2020-04-05T05:55:00.000+0200",6244,"32088.8200"
"2020-04-05T06:00:00.000+0200",5996,"130157.8700"
"2020-04-05T06:05:00.000+0200",6326,"82855.0300"
"2020-04-05T06:10:00.000+0200",6112,"30777.0100"
"2020-04-05T06:15:00.000+0200",6167,"27066.9400"
"2020-04-05T06:20:00.000+0200",5939,"26730.7100"
"2020-04-05T06:25:00.000+0200",5740,"44392.8100"
"2020-04-05T06:30:00.000+0200",5863,"35626.8700"
"2020-04-05T06:35:00.000+0200",6107,"45205.6900"
"2020-04-05T06:40:00.000+0200",6625,"56766.5700"
"2020-04-05T06:45:00.000+0200",6112,"51994.0100"
"2020-04-05T06:50:00.000+0200",6703,"45266.5000"
"2020-04-05T06:55:00.000+0200",6395,"41156.6100"
"2020-04-05T07:00:00.000+0200",6177,"49674.1700"
