"_time","Placed bets: ISoftBetCasino","amount_placed: ISoftBetCasino"
"2020-04-18T20:45:00.000+0200",33181,"141809.1900"
"2020-04-18T20:50:00.000+0200",33626,"146273.7000"
"2020-04-18T20:55:00.000+0200",32653,"110518.9400"
"2020-04-18T21:00:00.000+0200",33280,"108562.8400"
"2020-04-18T21:05:00.000+0200",33909,"120081.9000"
"2020-04-18T21:10:00.000+0200",35315,"135584.3700"
"2020-04-18T21:15:00.000+0200",35586,"137941.7900"
"2020-04-18T21:20:00.000+0200",26304,"100130.4400"
"2020-04-18T21:25:00.000+0200",8085,"27349.9400"
"2020-04-18T21:30:00.000+0200",25146,"91477.4200"
"2020-04-18T21:35:00.000+0200",29285,"111382.5000"
"2020-04-18T21:40:00.000+0200",30928,"120464.9700"
"2020-04-18T21:45:00.000+0200",33909,"119284.5100"
"2020-04-18T21:50:00.000+0200",34593,"123582.1300"
"2020-04-18T21:55:00.000+0200",35229,"122468.0700"
"2020-04-18T22:00:00.000+0200",21569,"81610.4100"
"2020-04-18T22:05:00.000+0200",15056,"43716.2800"
"2020-04-18T22:10:00.000+0200",29211,"88769.6400"
"2020-04-18T22:15:00.000+0200",32165,"102921.3800"
"2020-04-18T22:20:00.000+0200",31690,"105479.5800"
"2020-04-18T22:25:00.000+0200",33761,"114315.6700"
"2020-04-18T22:30:00.000+0200",34505,"113507.0600"
"2020-04-18T22:35:00.000+0200",33420,"109077.3000"
"2020-04-18T22:40:00.000+0200",33574,"118643.1400"
"2020-04-18T22:45:00.000+0200",32506,"106875.8200"
"2020-04-18T22:50:00.000+0200",32046,"107413.7300"
"2020-04-18T22:55:00.000+0200",33535,"110834.6300"
"2020-04-18T23:00:00.000+0200",31458,"108648.0900"
"2020-04-18T23:05:00.000+0200",32467,"115364.1100"
"2020-04-18T23:10:00.000+0200",16017,"59727.0700"
"2020-04-18T23:15:00.000+0200",18821,"73256.5700"
"2020-04-18T23:20:00.000+0200",29622,"91755.1100"
"2020-04-18T23:25:00.000+0200",33195,"118084.8900"
"2020-04-18T23:30:00.000+0200",33656,"120788.2600"
"2020-04-18T23:35:00.000+0200",35508,"128962.7400"
"2020-04-18T23:40:00.000+0200",33410,"118311.8600"
"2020-04-18T23:45:00.000+0200",35654,"134604.1200"
"2020-04-18T23:50:00.000+0200",35529,"147800.8900"
"2020-04-18T23:55:00.000+0200",35983,"141635.1100"
"2020-04-19T00:00:00.000+0200",35136,"146644.9800"
"2020-04-19T00:05:00.000+0200",35097,"136161.5300"
"2020-04-19T00:10:00.000+0200",35177,"147182.7800"
"2020-04-19T00:15:00.000+0200",34106,"168044.2900"
"2020-04-19T00:20:00.000+0200",33365,"149142.6000"
"2020-04-19T00:25:00.000+0200",32264,"155205.7100"
"2020-04-19T00:30:00.000+0200",32522,"150002.4900"
"2020-04-19T00:35:00.000+0200",32226,"175428.7300"
"2020-04-19T00:40:00.000+0200",33382,"170634.1500"
"2020-04-19T00:45:00.000+0200",32765,"156135.7100"
"2020-04-19T00:50:00.000+0200",33262,"153465.2800"
"2020-04-19T00:55:00.000+0200",32566,"155533.1400"
"2020-04-19T01:00:00.000+0200",32002,"136911.4000"
"2020-04-19T01:05:00.000+0200",31226,"172490.7800"
"2020-04-19T01:10:00.000+0200",28676,"135300.9000"
"2020-04-19T01:15:00.000+0200",27390,"124188.3200"
"2020-04-19T01:20:00.000+0200",24011,"136982.4200"
"2020-04-19T01:25:00.000+0200",28223,"154922.4100"
"2020-04-19T01:30:00.000+0200",25723,"166892.9300"
"2020-04-19T01:35:00.000+0200",25162,"178400.6500"
"2020-04-19T01:40:00.000+0200",23377,"196456.4400"
"2020-04-19T01:45:00.000+0200",23839,"211601.1600"
"2020-04-19T01:50:00.000+0200",25464,"212575.3000"
"2020-04-19T01:55:00.000+0200",22934,"187220.7000"
"2020-04-19T02:00:00.000+0200",22707,"160213.5500"
"2020-04-19T02:05:00.000+0200",21603,"148324.4900"
"2020-04-19T02:10:00.000+0200",21096,"153287.1200"
"2020-04-19T02:15:00.000+0200",21420,"204503.3600"
"2020-04-19T02:20:00.000+0200",21421,"187143.1800"
"2020-04-19T02:25:00.000+0200",21612,"145144.8000"
"2020-04-19T02:30:00.000+0200",21072,"109791.3100"
"2020-04-19T02:35:00.000+0200",20997,"117665.4300"
"2020-04-19T02:40:00.000+0200",21614,"119912.2100"
"2020-04-19T02:45:00.000+0200",19845,"107399.6200"
"2020-04-19T02:50:00.000+0200",18802,"104598.5400"
"2020-04-19T02:55:00.000+0200",19424,"103147.2000"
"2020-04-19T03:00:00.000+0200",18651,"102301.7500"
"2020-04-19T03:05:00.000+0200",19174,"103856.2000"
"2020-04-19T03:10:00.000+0200",17360,"89482.9300"
"2020-04-19T03:15:00.000+0200",17141,"89416.4800"
"2020-04-19T03:20:00.000+0200",16096,"83796.5100"
"2020-04-19T03:25:00.000+0200",15460,"78294.9500"
"2020-04-19T03:30:00.000+0200",15344,"70706.5100"
"2020-04-19T03:35:00.000+0200",13936,"75769.0600"
"2020-04-19T03:40:00.000+0200",14158,"66213.6700"
"2020-04-19T03:45:00.000+0200",14261,"81661.4800"
"2020-04-19T03:50:00.000+0200",13343,"65795.7600"
"2020-04-19T03:55:00.000+0200",13399,"68338.0500"
"2020-04-19T04:00:00.000+0200",12584,"62530.4000"
"2020-04-19T04:05:00.000+0200",11493,"68407.0400"
"2020-04-19T04:10:00.000+0200",12049,"70959.2000"
"2020-04-19T04:15:00.000+0200",11652,"92817.3600"
"2020-04-19T04:20:00.000+0200",11067,"97332.3500"
"2020-04-19T04:25:00.000+0200",10619,"64427.7100"
"2020-04-19T04:30:00.000+0200",10314,"64112.0300"
"2020-04-19T04:35:00.000+0200",10449,"65226.4400"
"2020-04-19T04:40:00.000+0200",9381,"64684.9100"
"2020-04-19T04:45:00.000+0200",8632,"55864.8600"
"2020-04-19T04:50:00.000+0200",8817,"54823.6000"
"2020-04-19T04:55:00.000+0200",8478,"50692.2300"
"2020-04-19T05:00:00.000+0200",8145,"43751.3700"
"2020-04-19T05:05:00.000+0200",8142,"40877.1800"
"2020-04-19T05:10:00.000+0200",7112,"50420.8000"
