"_time","Placed bets: Betradar","Placed bets: Blueprint","Placed bets: ConnectiveGamesPoker","Placed bets: EgtCasino","Placed bets: EuropeBetLiveCasino","Placed bets: EvolutionCasino","Placed bets: Game360Casino","Placed bets: GameIncCasino","Placed bets: IGTCasino","Placed bets: ISoftBetCasino","Placed bets: ISolutionsSportsbook","Placed bets: IgrosoftCasino","Placed bets: LeanderCasino","Placed bets: MicrogamingCasino","Placed bets: NeoGamesScratch","Placed bets: NetEntCasino","Placed bets: NoLimitCityCasino","Placed bets: NovomaticCasino","Placed bets: NyxCasino","Placed bets: PlaynGoCasino","Placed bets: QuickspinCasino","Placed bets: RaceBetsSportsbook","Placed bets: RedTigerGamingCasino","Placed bets: SbBettingCasino","Placed bets: SbBettingSportsbook","Placed bets: Sportsbook","Placed bets: ThunderKickCasino","Placed bets: WirexCasino","Placed bets: YggdrasilCasino","amount_placed: Betradar","amount_placed: Blueprint","amount_placed: ConnectiveGamesPoker","amount_placed: EgtCasino","amount_placed: EuropeBetLiveCasino","amount_placed: EvolutionCasino","amount_placed: Game360Casino","amount_placed: GameIncCasino","amount_placed: IGTCasino","amount_placed: ISoftBetCasino","amount_placed: ISolutionsSportsbook","amount_placed: IgrosoftCasino","amount_placed: LeanderCasino","amount_placed: MicrogamingCasino","amount_placed: NeoGamesScratch","amount_placed: NetEntCasino","amount_placed: NoLimitCityCasino","amount_placed: NovomaticCasino","amount_placed: NyxCasino","amount_placed: PlaynGoCasino","amount_placed: QuickspinCasino","amount_placed: RaceBetsSportsbook","amount_placed: RedTigerGamingCasino","amount_placed: SbBettingCasino","amount_placed: SbBettingSportsbook","amount_placed: Sportsbook","amount_placed: ThunderKickCasino","amount_placed: WirexCasino","amount_placed: YggdrasilCasino"
"2020-04-22T01:00:00.000+0200",297,481,86,14182,267,5510,2369,4654,0,28383,0,1857,1565,5574,179,25619,370,5222,5750,24927,6341,0,11842,11,14,192,1495,30,5437,"12186.5400","439.8000","1634.3500","16982.3900","2520.9000","824776.7600","6415.0900","33657.3800",,"144074.9700",,"792.5600","6973.5200","37103.7800","400.4000","153531.6900","2103.2500","4815.3000","41236.1700","175980.0300","31281.5200",,"41432.9000","13.7500","165.4700","37159.8500","4856.0000","2512.0000","37969.6000"
"2020-04-22T01:05:00.000+0200",210,331,71,12994,245,5018,2247,4308,0,27657,0,2084,1450,4876,176,23536,266,5303,5314,23173,5629,0,11030,9,9,147,1713,34,5168,"15719.5800","570.5000","1501.5100","19172.2100","1496.7900","779319.8700","4524.4300","72239.4100",,"256968.1800",,"760.9300","6564.3000","29985.6600","451.8000","151150.9300","2332.2500","8097.5300","39602.9900","138296.0600","30481.1400",,"41755.9000","16.1000","414.1000","21124.2100","4632.4000","2959.8500","38046.0000"
"2020-04-22T01:10:00.000+0200",295,269,80,12583,237,4984,2262,3758,0,26378,0,2059,1415,5283,263,22143,340,4962,5002,22883,5495,0,10649,6,8,157,1519,33,4751,"22086.3800","513.7000","829.4900","16405.8400","1516.2400","770376.4400","2302.6600","52436.8800",,"283604.2500",,"571.1600","6598.0800","26579.6900","864.6000","138490.0800","1653.7500","9849.7100","29792.1400","149672.3600","30120.9800",,"31038.7000","7.5000","294.2000","422020.2900","4455.7000","1255.0000","49932.6000"
"2020-04-22T01:15:00.000+0200",234,268,97,12136,200,5119,1999,3466,0,25156,1,2123,828,5067,216,22164,522,4653,4914,22875,5817,1,10956,5,16,106,1602,17,4611,"15516.0700","338.1000","1459.6800","16827.9200","1840.0700","915954.3700","5703.2700","10062.1200",,"89105.8700","20.0000","562.4000","4092.7500","26483.8500","610.4000","118123.7700","3009.7000","10849.7400","37556.2100","124050.1800","32919.4000","81.6400","28796.5000","8.2000","188.1300","14206.3300","4283.4000","950.0000","30396.1000"
"2020-04-22T01:20:00.000+0200",230,126,80,11684,189,3297,1368,2477,0,16643,0,1639,764,3210,100,15790,324,3932,4293,16763,3587,0,7274,8,9,124,976,18,2636,"28408.9900","265.0000","1264.2700","12890.5200","1562.2900","439597.8500","3938.4300","8167.5100",,"65282.1200",,"447.9500","9382.0000","20251.5600","366.8000","74795.2900","1949.5000","8423.2200","23119.6200","93694.0900","21837.7200",,"20630.3000","11.3500","253.5500","14113.3400","2592.9000","927.0000","45528.0500"
"2020-04-22T01:25:00.000+0200",338,216,69,11374,274,4341,1437,2636,0,19219,0,1960,886,3364,105,18966,283,4980,3152,19787,3035,3,9120,11,11,132,1282,17,3297,"25298.7800","1157.7000","483.2600","13272.2800","1760.8800","795664.0700","3936.8500","14379.0300",,"74449.0700",,"554.4700","10817.4000","17199.6700","256.1600","91032.4100","1588.5500","7499.0300","19920.4900","113494.0800","21075.2800","60.0000","40654.3000","19.8500","92.5000","14819.3900","3765.8000","6723.2000","46623.2000"
"2020-04-22T01:30:00.000+0200",227,355,98,10911,233,4546,1364,3704,0,23947,0,1928,1225,4290,141,21815,202,4663,3293,23599,4104,8,10749,8,27,117,1095,14,3957,"17079.0300","1711.9000","1159.2000","8406.4700","1832.2200","672032.1500","3450.3600","27490.5900",,"91292.7300",,"406.4600","15610.7500","23995.5900","256.7000","115886.4800","1095.4500","7698.6300","21702.7000","137740.3700","18626.1600","107.1400","41773.3000","8.8500","389.2000","10887.9000","5039.2000","1106.0000","60531.6500"
"2020-04-22T01:35:00.000+0200",261,281,75,10933,220,4131,1801,3890,0,23065,0,1813,1198,3889,119,22973,161,4139,3827,23576,4431,5,11350,8,13,86,1266,18,3944,"25354.5700","1740.0000","1238.2200","7919.6100","888.6100","649034.6000","3445.1700","45023.4600",,"80274.2900",,"401.7200","14403.7800","21056.4700","161.2000","138868.1200","538.0000","8717.0900","29791.6300","122014.6600","25684.9300","13.2600","62552.6000","12.1000","83.3600","20856.3800","5419.9000","217.0000","50402.4600"
"2020-04-22T01:40:00.000+0200",300,320,67,10011,241,4288,1943,3734,0,21389,0,1937,1474,4112,37,21595,279,3924,3868,22754,4509,0,11209,9,4,97,1191,18,3577,"26855.7500","844.7000","1289.1100","7679.3400","1035.8600","542329.4500","3738.6200","52291.3000",,"80728.2400",,"620.5500","8057.6400","22791.6000","100.0000","128263.0400","1536.2500","7749.8200","21671.2000","174150.5000","43398.2200",,"28513.2000","6.9000","43.5000","30663.8900","2021.7000","305.0000","47854.3100"
"2020-04-22T01:45:00.000+0200",206,289,65,10537,258,4643,1887,3680,1,20363,0,1695,1401,3723,111,20162,206,2594,3902,20909,4172,0,10936,10,12,116,1327,9,3765,"20395.2200","783.4000","387.3800","7299.9800","1284.8200","693429.1500","4209.5100","14791.4200","0.4000","230050.0000",,"580.9600","4867.4600","15896.9100","112.4000","120813.1500","945.7000","4307.1800","29578.9700","115719.2800","47761.3900",,"32982.9000","17.1900","278.3500","31854.6900","3679.5000","135.5000","43178.7000"
