"_time","Placed bets: NetEntCasino","amount_placed: NetEntCasino"
"2020-04-04T21:00:00.000+0200",31084,"229474.6800"
"2020-04-04T21:05:00.000+0200",31013,"243841.0900"
"2020-04-04T21:10:00.000+0200",30836,"253988.3600"
"2020-04-04T21:15:00.000+0200",32063,"255282.0500"
"2020-04-04T21:20:00.000+0200",31153,"223003.1900"
"2020-04-04T21:25:00.000+0200",31948,"190280.8000"
"2020-04-04T21:30:00.000+0200",31929,"159096.3500"
"2020-04-04T21:35:00.000+0200",32631,"152935.3800"
"2020-04-04T21:40:00.000+0200",32657,"185282.1600"
"2020-04-04T21:45:00.000+0200",32345,"186815.7000"
"2020-04-04T21:50:00.000+0200",32521,"246924.7400"
"2020-04-04T21:55:00.000+0200",34408,"167680.7900"
"2020-04-04T22:00:00.000+0200",34032,"152427.8700"
"2020-04-04T22:05:00.000+0200",33145,"203799.0600"
"2020-04-04T22:10:00.000+0200",31771,"188179.4200"
"2020-04-04T22:15:00.000+0200",33136,"200027.2500"
"2020-04-04T22:20:00.000+0200",33125,"178620.1100"
"2020-04-04T22:25:00.000+0200",34879,"184729.4900"
"2020-04-04T22:30:00.000+0200",32646,"189268.7600"
"2020-04-04T22:35:00.000+0200",31695,"224781.0200"
"2020-04-04T22:40:00.000+0200",32924,"223035.9100"
"2020-04-04T22:45:00.000+0200",33472,"189688.1000"
"2020-04-04T22:50:00.000+0200",33282,"196482.6000"
"2020-04-04T22:55:00.000+0200",33365,"228931.2600"
"2020-04-04T23:00:00.000+0200",34277,"249486.2000"
"2020-04-04T23:05:00.000+0200",33218,"313688.4500"
"2020-04-04T23:10:00.000+0200",34094,"326457.6000"
"2020-04-04T23:15:00.000+0200",35165,"340758.0700"
"2020-04-04T23:20:00.000+0200",34507,"228247.6600"
"2020-04-04T23:25:00.000+0200",32685,"226106.9000"
"2020-04-04T23:30:00.000+0200",32228,"204561.8300"
"2020-04-04T23:35:00.000+0200",32473,"189887.6300"
"2020-04-04T23:40:00.000+0200",32023,"181537.0100"
"2020-04-04T23:45:00.000+0200",32044,"194550.4700"
"2020-04-04T23:50:00.000+0200",31976,"208442.3300"
"2020-04-04T23:55:00.000+0200",34108,"209743.3100"
"2020-04-05T00:00:00.000+0200",33473,"298624.4500"
"2020-04-05T00:05:00.000+0200",34445,"467008.4400"
"2020-04-05T00:10:00.000+0200",32661,"771233.4500"
"2020-04-05T00:15:00.000+0200",31879,"600411.0000"
"2020-04-05T00:20:00.000+0200",30738,"174282.0800"
"2020-04-05T00:25:00.000+0200",30165,"653529.9500"
"2020-04-05T00:30:00.000+0200",29819,"189013.7500"
"2020-04-05T00:35:00.000+0200",28450,"169493.9500"
"2020-04-05T00:40:00.000+0200",29504,"137481.2700"
"2020-04-05T00:45:00.000+0200",29536,"142451.0500"
"2020-04-05T00:50:00.000+0200",28899,"145771.2200"
"2020-04-05T00:55:00.000+0200",28164,"168518.5600"
"2020-04-05T01:00:00.000+0200",26245,"148436.8800"
"2020-04-05T01:05:00.000+0200",25543,"140462.0700"
"2020-04-05T01:10:00.000+0200",24108,"150634.4400"
"2020-04-05T01:15:00.000+0200",22264,"134946.4700"
"2020-04-05T01:20:00.000+0200",20491,"126230.6100"
"2020-04-05T01:25:00.000+0200",21274,"125693.2100"
"2020-04-05T01:30:00.000+0200",21807,"151720.2000"
"2020-04-05T01:35:00.000+0200",21699,"160492.6400"
"2020-04-05T01:40:00.000+0200",22303,"177117.9700"
"2020-04-05T01:45:00.000+0200",20985,"145699.6900"
"2020-04-05T01:50:00.000+0200",20976,"139639.3200"
"2020-04-05T01:55:00.000+0200",20194,"140592.3800"
"2020-04-05T02:00:00.000+0200",20532,"131758.2200"
"2020-04-05T02:05:00.000+0200",18853,"109646.1200"
"2020-04-05T02:10:00.000+0200",19690,"114928.5800"
"2020-04-05T02:15:00.000+0200",20081,"114363.6400"
"2020-04-05T02:20:00.000+0200",19313,"138018.5900"
"2020-04-05T02:25:00.000+0200",18772,"148806.6700"
"2020-04-05T02:30:00.000+0200",17702,"120176.7700"
"2020-04-05T02:35:00.000+0200",17316,"130444.5500"
"2020-04-05T02:40:00.000+0200",16334,"155898.1500"
"2020-04-05T02:45:00.000+0200",15089,"113000.2000"
"2020-04-05T02:50:00.000+0200",15281,"99790.4000"
"2020-04-05T02:55:00.000+0200",15958,"92253.5500"
"2020-04-05T03:00:00.000+0200",14458,"84733.7300"
"2020-04-05T03:05:00.000+0200",14475,"85103.5800"
"2020-04-05T03:10:00.000+0200",14054,"98176.4400"
"2020-04-05T03:15:00.000+0200",14090,"94775.8200"
"2020-04-05T03:20:00.000+0200",13517,"82886.4300"
"2020-04-05T03:25:00.000+0200",13339,"118415.7900"
"2020-04-05T03:30:00.000+0200",13478,"98988.4500"
"2020-04-05T03:35:00.000+0200",12402,"91940.1300"
"2020-04-05T03:40:00.000+0200",12408,"86837.5800"
"2020-04-05T03:45:00.000+0200",12049,"81368.5500"
"2020-04-05T03:50:00.000+0200",11789,"84897.1100"
"2020-04-05T03:55:00.000+0200",10489,"79943.6800"
"2020-04-05T04:00:00.000+0200",10033,"72509.7700"
"2020-04-05T04:05:00.000+0200",9839,"75938.0500"
"2020-04-05T04:10:00.000+0200",9040,"73761.1100"
"2020-04-05T04:15:00.000+0200",9170,"79967.0300"
"2020-04-05T04:20:00.000+0200",8608,"61130.9000"
"2020-04-05T04:25:00.000+0200",9127,"60727.1200"
"2020-04-05T04:30:00.000+0200",8831,"60588.0200"
"2020-04-05T04:35:00.000+0200",8308,"175825.1000"
"2020-04-05T04:40:00.000+0200",7780,"186651.2400"
"2020-04-05T04:45:00.000+0200",8136,"111931.9400"
"2020-04-05T04:50:00.000+0200",7846,"160185.1900"
"2020-04-05T04:55:00.000+0200",7527,"139619.1600"
"2020-04-05T05:00:00.000+0200",7201,"195337.0100"
"2020-04-05T05:05:00.000+0200",7514,"205226.2100"
"2020-04-05T05:10:00.000+0200",6738,"83215.6800"
"2020-04-05T05:15:00.000+0200",5974,"37466.5100"
"2020-04-05T05:20:00.000+0200",5834,"35670.5200"
"2020-04-05T05:25:00.000+0200",5682,"36782.0700"
"2020-04-05T05:30:00.000+0200",5690,"47033.3000"
"2020-04-05T05:35:00.000+0200",5790,"346623.0700"
"2020-04-05T05:40:00.000+0200",5590,"391943.9600"
"2020-04-05T05:45:00.000+0200",5523,"177685.5300"
"2020-04-05T05:50:00.000+0200",5336,"39000.5300"
"2020-04-05T05:55:00.000+0200",5514,"31848.3900"
"2020-04-05T06:00:00.000+0200",5747,"30452.0400"
"2020-04-05T06:05:00.000+0200",5946,"34789.8100"
"2020-04-05T06:10:00.000+0200",6063,"18837.4300"
"2020-04-05T06:15:00.000+0200",5493,"26487.2700"
"2020-04-05T06:20:00.000+0200",5789,"35041.2500"
"2020-04-05T06:25:00.000+0200",6028,"50931.4900"
"2020-04-05T06:30:00.000+0200",5341,"38120.5200"
"2020-04-05T06:35:00.000+0200",6126,"56719.3500"
"2020-04-05T06:40:00.000+0200",6112,"33626.2100"
"2020-04-05T06:45:00.000+0200",6673,"27190.5700"
"2020-04-05T06:50:00.000+0200",6718,"30545.5700"
"2020-04-05T06:55:00.000+0200",6925,"42096.7800"
"2020-04-05T07:00:00.000+0200",6939,"27361.8800"
"2020-04-05T07:05:00.000+0200",7363,"30116.4100"
"2020-04-05T07:10:00.000+0200",7481,"24409.1100"
"2020-04-05T07:15:00.000+0200",7276,"25492.9700"
"2020-04-05T07:20:00.000+0200",7595,"25091.0100"
"2020-04-05T07:25:00.000+0200",8626,"34311.8900"
"2020-04-05T07:30:00.000+0200",8454,"54255.8700"
"2020-04-05T07:35:00.000+0200",7756,"67558.7900"
"2020-04-05T07:40:00.000+0200",8240,"49567.0900"
"2020-04-05T07:45:00.000+0200",8500,"101029.1900"
"2020-04-05T07:50:00.000+0200",8484,"82160.3200"
"2020-04-05T07:55:00.000+0200",8688,"76857.0000"
"2020-04-05T08:00:00.000+0200",9059,"72893.2700"
"2020-04-05T08:05:00.000+0200",9164,"57739.9900"
"2020-04-05T08:10:00.000+0200",8879,"51303.4200"
"2020-04-05T08:15:00.000+0200",9391,"36491.1200"
"2020-04-05T08:20:00.000+0200",9487,"39781.2300"
"2020-04-05T08:25:00.000+0200",9780,"280759.4400"
"2020-04-05T08:30:00.000+0200",9842,"73115.8400"
"2020-04-05T08:35:00.000+0200",10047,"73867.6600"
