"_time","Placed bets: GameIncCasino","Placed bets: ISoftBetCasino","Placed bets: NetEntCasino","Placed bets: QuickspinCasino","Placed bets: YggdrasilCasino","amount_placed: GameIncCasino","amount_placed: ISoftBetCasino","amount_placed: NetEntCasino","amount_placed: QuickspinCasino","amount_placed: YggdrasilCasino"
"2020-04-08T11:00:00.000+0200",2704,14820,18739,4475,3854,"11960.6900","67270.8100","89936.5000","17660.4000","8933.6000"
"2020-04-08T11:05:00.000+0200",2982,16756,18723,4186,4474,"16820.4200","75983.2200","86557.6000","20070.7800","10523.0500"
"2020-04-08T11:10:00.000+0200",3116,15794,18960,3852,5316,"16517.2100","68717.6900","88686.3400","33150.8600","11734.4500"
"2020-04-08T11:15:00.000+0200",2648,15389,19044,3501,5565,"13579.2000","68853.3200","92253.7900","37525.7000","16475.8000"
"2020-04-08T11:20:00.000+0200",2758,15449,19902,4193,5919,"11777.9300","63783.3500","86535.8400","52179.8500","11072.3000"
"2020-04-08T11:25:00.000+0200",2752,19309,19635,4646,5914,"17184.8600","74342.3500","89633.6400","33184.3800","11599.6000"
"2020-04-08T11:30:00.000+0200",2435,14773,17589,3591,3054,"13568.3700","62223.6400","86688.8100","19917.1800","7148.8500"
"2020-04-08T11:35:00.000+0200",2538,7512,12819,835,3179,"18103.6700","44391.9300","72585.5200","3403.5400","7734.4100"
"2020-04-08T11:40:00.000+0200",2993,13336,19443,3135,4972,"28534.8600","53417.6000","115985.0200","9553.5900","10712.0800"
"2020-04-08T11:45:00.000+0200",2889,13629,19560,4043,5021,"16498.9500","47672.1000","116453.5300","12493.3200","12499.7500"
"2020-04-08T11:50:00.000+0200",3028,17071,19980,4478,5421,"14752.8100","67049.6000","132573.5000","16622.2400","13910.9500"
"2020-04-08T11:55:00.000+0200",2779,18003,20670,4187,5841,"13915.1500","74195.1700","126447.5500","11923.9100","11405.1500"
"2020-04-08T12:00:00.000+0200",3159,12241,20441,4234,5874,"11908.2900","55959.0100","122711.1800","12678.4200","10711.0500"
"2020-04-08T12:05:00.000+0200",2651,14074,20898,4387,6047,"18436.2100","79644.6800","118761.9300","14176.0700","11761.1500"
"2020-04-08T12:10:00.000+0200",2463,19308,20617,4247,6425,"20784.8300","74215.5400","109602.2200","10868.5400","12072.9000"
"2020-04-08T12:15:00.000+0200",2817,19873,20992,4556,5880,"18544.4800","75401.8600","112889.1900","13005.6400","13887.5500"
"2020-04-08T12:20:00.000+0200",3016,21132,21074,4284,5452,"13509.4100","71095.3000","124377.0800","11034.8600","14857.1500"
"2020-04-08T12:25:00.000+0200",2933,19516,20525,4013,5622,"10643.0100","81448.8400","123804.3800","9780.1600","17248.0500"
