"_time","betplace","turnover"
"2020-04-18T21:00:00.000+0200",31679,"148082.6000"
"2020-04-18T21:05:00.000+0200",31057,"134698.9500"
"2020-04-18T21:10:00.000+0200",30725,"127661.5200"
"2020-04-18T21:15:00.000+0200",29373,"132499.2100"
"2020-04-18T21:20:00.000+0200",30403,"130645.9100"
"2020-04-18T21:25:00.000+0200",30118,"140475.3600"
"2020-04-18T21:30:00.000+0200",30327,"151944.2600"
"2020-04-18T21:35:00.000+0200",30422,"155203.1100"
"2020-04-18T21:40:00.000+0200",28668,"150772.4300"
"2020-04-18T21:45:00.000+0200",30300,"157641.6100"
"2020-04-18T21:50:00.000+0200",29011,"161999.1100"
"2020-04-18T21:55:00.000+0200",29172,"147651.2300"
"2020-04-18T22:00:00.000+0200",29439,"123452.4500"
"2020-04-18T22:05:00.000+0200",31170,"138621.1800"
"2020-04-18T22:10:00.000+0200",30253,"133749.7300"
"2020-04-18T22:15:00.000+0200",28968,"134721.7600"
"2020-04-18T22:20:00.000+0200",28853,"124513.4700"
"2020-04-18T22:25:00.000+0200",29524,"124790.3700"
"2020-04-18T22:30:00.000+0200",30326,"160737.4300"
"2020-04-18T22:35:00.000+0200",30998,"158962.8100"
"2020-04-18T22:40:00.000+0200",30888,"146276.8700"
"2020-04-18T22:45:00.000+0200",30775,"144153.5600"
"2020-04-18T22:50:00.000+0200",29286,"142083.3000"
"2020-04-18T22:55:00.000+0200",29888,"157549.8500"
"2020-04-18T23:00:00.000+0200",29256,"146639.1900"
"2020-04-18T23:05:00.000+0200",29645,"154620.3700"
"2020-04-18T23:10:00.000+0200",12241,"83876.7500"
"2020-04-18T23:15:00.000+0200",5167,"24608.7100"
"2020-04-18T23:20:00.000+0200",6524,"39503.3800"
"2020-04-18T23:25:00.000+0200",22049,"155071.8800"
"2020-04-18T23:30:00.000+0200",25383,"173945.8800"
"2020-04-18T23:35:00.000+0200",23665,"184380.0600"
"2020-04-18T23:40:00.000+0200",11625,"85595.1500"
"2020-04-18T23:45:00.000+0200",24047,"162110.5200"
"2020-04-18T23:50:00.000+0200",25254,"150581.8900"
"2020-04-18T23:55:00.000+0200",27616,"164661.9400"
"2020-04-19T00:00:00.000+0200",27177,"170383.5800"
"2020-04-19T00:05:00.000+0200",28010,"159160.3500"
"2020-04-19T00:10:00.000+0200",26834,"175605.5400"
"2020-04-19T00:15:00.000+0200",25951,"182592.6300"
"2020-04-19T00:20:00.000+0200",25455,"136910.1000"
"2020-04-19T00:25:00.000+0200",24933,"126421.3000"
"2020-04-19T00:30:00.000+0200",24707,"126208.3800"
"2020-04-19T00:35:00.000+0200",23952,"118089.2300"
"2020-04-19T00:40:00.000+0200",23585,"125759.9700"
"2020-04-19T00:45:00.000+0200",22572,"117922.6600"
"2020-04-19T00:50:00.000+0200",23000,"129070.6900"
"2020-04-19T00:55:00.000+0200",22572,"120712.0700"
"2020-04-19T01:00:00.000+0200",22199,"100019.5500"
"2020-04-19T01:05:00.000+0200",20560,"102859.2800"
"2020-04-19T01:10:00.000+0200",19585,"116709.4800"
"2020-04-19T01:15:00.000+0200",19041,"114933.2400"
"2020-04-19T01:20:00.000+0200",17176,"98603.2700"
"2020-04-19T01:25:00.000+0200",19552,"133269.6100"
"2020-04-19T01:30:00.000+0200",18291,"119606.6200"
"2020-04-19T01:35:00.000+0200",19011,"131562.3300"
"2020-04-19T01:40:00.000+0200",19504,"142380.9100"
"2020-04-19T01:45:00.000+0200",19033,"121931.0300"
"2020-04-19T01:50:00.000+0200",18410,"90824.2900"
"2020-04-19T01:55:00.000+0200",18648,"106443.5900"
"2020-04-19T02:00:00.000+0200",18695,"103740.4600"
"2020-04-19T02:05:00.000+0200",17718,"99075.5800"
"2020-04-19T02:10:00.000+0200",17317,"99323.0900"
"2020-04-19T02:15:00.000+0200",16975,"106074.3000"
"2020-04-19T02:20:00.000+0200",16392,"112614.3500"
"2020-04-19T02:25:00.000+0200",15948,"106519.5900"
"2020-04-19T02:30:00.000+0200",15423,"111374.9900"
"2020-04-19T02:35:00.000+0200",15153,"112826.8100"
"2020-04-19T02:40:00.000+0200",15384,"118569.4300"
"2020-04-19T02:45:00.000+0200",13963,"109961.6300"
"2020-04-19T02:50:00.000+0200",14059,"97725.8400"
"2020-04-19T02:55:00.000+0200",14227,"100631.8800"
"2020-04-19T03:00:00.000+0200",12694,"102440.9500"
"2020-04-19T03:05:00.000+0200",13181,"95607.2100"
"2020-04-19T03:10:00.000+0200",12791,"101455.0300"
"2020-04-19T03:15:00.000+0200",12607,"94199.3200"
"2020-04-19T03:20:00.000+0200",13191,"87915.6000"
"2020-04-19T03:25:00.000+0200",12206,"81239.1400"
"2020-04-19T03:30:00.000+0200",11119,"73334.7800"
"2020-04-19T03:35:00.000+0200",10131,"74077.3300"
"2020-04-19T03:40:00.000+0200",10105,"79907.7300"
"2020-04-19T03:45:00.000+0200",9861,"66107.9600"
"2020-04-19T03:50:00.000+0200",9918,"51459.9600"
"2020-04-19T03:55:00.000+0200",8215,"46420.5100"
"2020-04-19T04:00:00.000+0200",9022,"60227.7300"
"2020-04-19T04:05:00.000+0200",8485,"63112.8100"
"2020-04-19T04:10:00.000+0200",8368,"46992.9000"
"2020-04-19T04:15:00.000+0200",8631,"50104.4100"
"2020-04-19T04:20:00.000+0200",8648,"50810.4300"
"2020-04-19T04:25:00.000+0200",7889,"36050.1400"
"2020-04-19T04:30:00.000+0200",8170,"34066.8700"
"2020-04-19T04:35:00.000+0200",7886,"35258.4400"
"2020-04-19T04:40:00.000+0200",8142,"29278.9600"
